time_s,stage,stage_time_s,pump_pwm,temp_c,raw_adc,cooling_on,notes
356,2,174,500,23.757386,2104.25,1,cooling
358,2,176,500,23.491394,2116.45,1,cooling
361,2,179,500,24.161438,2085.75,1,cooling
363,3,0,700,23.964752,2094.75,1,cooling
365,3,2,700,23.888336,2098.25,1,cooling
367,3,4,700,24.2040708,2083.8,1,cooling
369,3,6,700,23.733398,2105.35,1,cooling
372,3,9,700,23.985504,2093.8,1,cooling
374,3,11,700,23.807556,2101.95,1,cooling
376,3,13,700,24.51715,2069.5,1,cooling
378,3,15,700,23.6788332,2107.85,1,cooling
381,3,18,700,23.28238,2126.05,1,cooling
383,3,20,700,23.445648,2118.55,1,cooling
385,3,22,700,23.924346,2096.6,1,cooling
387,3,24,700,23.4652708,2117.65,1,cooling
389,3,26,700,23.4729,2117.3,1,cooling
392,3,29,700,24.169098,2085.4,1,cooling
394,3,31,700,23.43695,2118.95,1,cooling
396,3,33,700,23.582946,2112.25,1,cooling
398,3,35,700,23.546966,2113.9,1,cooling
401,3,38,700,24.578522,2066.7,1,cooling
403,3,40,700,23.707214,2106.55,1,cooling
405,3,42,700,23.868682,2099.15,1,cooling
407,3,44,700,23.88504,2098.4,1,cooling
409,3,46,700,24.094758,2088.8,1,cooling
412,3,49,700,23.300872,2125.2,1,cooling
414,3,51,700,23.765014,2103.9,1,cooling
416,3,53,700,23.528442,2114.75,1,cooling
418,3,55,700,23.65158,2109.1,1,cooling
421,3,58,700,23.787934,2102.85,1,cooling
423,3,60,700,23.370544,2122.0,1,cooling
425,3,62,700,23.28891,2125.75,1,cooling
427,3,64,700,23.526246,2114.85,1,cooling
429,3,66,700,23.548034,2113.85,1,cooling
432,3,69,700,23.574188,2112.65,1,cooling
434,3,71,700,23.463104,2117.75,1,cooling
436,3,73,700,23.3945,2120.9,1,cooling
438,3,75,700,23.646118,2109.35,1,cooling
441,3,78,700,23.459808,2117.9,1,cooling
443,3,80,700,23.65921,2108.75,1,cooling
445,3,82,700,23.506652,2115.75,1,cooling
447,3,84,700,23.66687,2108.4,1,cooling
450,3,87,700,23.603638,2111.3,1,cooling
452,3,89,700,23.628692,2110.15,1,cooling
454,3,91,700,23.622162,2110.45,1,cooling
456,3,93,700,23.055084,2136.5,1,cooling
459,3,96,700,23.489228,2116.55,1,cooling
461,3,98,700,23.858856,2099.6,1,cooling
463,3,100,700,23.100738,2134.4,1,cooling
465,3,102,700,23.123566,2133.35,1,cooling
467,3,104,700,23.081176,2135.3,1,cooling
470,3,107,700,23.285644,2125.9,1,cooling
472,3,109,700,23.650512,2109.15,1,cooling
474,3,111,700,23.396668,2120.8,1,cooling
476,3,113,700,23.26715,2126.75,1,cooling
478,3,115,700,22.780304,2149.15,1,cooling
481,3,118,700,22.764008,2149.9,1,cooling
483,3,120,700,23.14206,2132.5,1,cooling
485,3,122,700,23.087708,2135.0,1,cooling
487,3,124,700,23.45874,2117.95,1,cooling
489,3,126,700,23.42389,2119.55,1,cooling
491,3,128,700,23.28238,2126.05,1,cooling
494,3,131,700,23.311738,2124.7,1,cooling
496,3,133,700,23.201874,2129.75,1,cooling
498,3,135,700,23.488128,2116.6,1,cooling
500,3,137,700,23.090942,2134.85,1,cooling
502,3,139,700,23.2682192,2126.7,1,cooling
505,3,142,700,23.7901,2102.75,1,cooling
507,3,144,700,23.1561884,2131.85,1,cooling
509,3,146,700,23.453278,2118.2,1,cooling
511,3,148,700,23.234498,2128.25,1,cooling
513,3,150,700,23.552398,2113.65,1,cooling
516,3,153,700,23.25409,2127.35,1,cooling
518,3,155,700,23.152924,2132.0,1,cooling
520,3,157,700,23.10617,2134.15,1,cooling
522,3,159,700,23.336792,2123.55,1,cooling
524,3,161,700,23.16272,2131.55,1,cooling
527,3,164,700,23.179046,2130.8,1,cooling
529,3,166,700,23.244294,2127.8,1,cooling
531,3,168,700,23.13443,2132.85,1,cooling
533,3,170,700,23.217102,2129.05,1,cooling
535,3,172,700,23.270386,2126.6,1,cooling
538,3,175,700,23.781372,2103.15,1,cooling
540,3,177,700,23.397736,2120.75,1,cooling
542,3,179,700,23.8741152,2098.9,1,cooling
544,4,0,900,22.996398,2139.2,1,cooling
546,4,2,900,23.404266,2120.45,1,cooling
549,4,5,900,23.375976,2121.75,1,cooling
551,4,7,900,22.952942,2141.2,1,cooling
553,4,9,900,23.040954,2137.15,1,cooling
555,4,11,900,23.61673,2110.7,1,cooling
557,4,13,900,22.9453424,2141.55,1,cooling
560,4,16,900,23.151856,2132.05,1,cooling
562,4,18,900,23.461976,2117.8,1,cooling
564,4,20,900,23.217102,2129.05,1,cooling
566,4,22,900,23.269318,2126.65,1,cooling
568,4,24,900,23.4652708,2117.65,1,cooling
571,4,27,900,23.453278,2118.2,1,cooling
573,4,29,900,23.603638,2111.3,1,cooling
575,4,31,900,23.65921,2108.75,1,cooling
577,4,33,900,23.137696,2132.7,1,cooling
580,4,36,900,22.8888536,2144.15,1,cooling
582,4,38,900,22.624024,2156.35,1,cooling
584,4,40,900,23.828278,2101.0,1,cooling
587,4,43,900,22.998596,2139.1,1,cooling
589,4,45,900,23.63086,2110.05,1,cooling
591,4,47,900,23.346588,2123.1,1,cooling
593,4,49,900,23.001832,2138.95,1,cooling
595,4,51,900,23.334626,2123.65,1,cooling
598,4,54,900,23.049652,2136.75,1,cooling
600,4,56,900,23.53717,2114.35,1,cooling
602,4,58,900,23.410798,2120.15,1,cooling
604,4,60,900,23.308502,2124.85,1,cooling
607,4,63,900,22.719512,2151.95,1,cooling
609,4,65,900,23.05075,2136.7,1,cooling
611,4,67,900,22.9409784,2141.75,1,cooling
613,4,69,900,23.226898,2128.6,1,cooling
615,4,71,900,22.856292,2145.65,1,cooling
618,4,74,900,23.316102,2124.5,1,cooling
620,4,76,900,23.03009,2137.65,1,cooling
622,4,78,900,23.164886,2131.45,1,cooling
624,4,80,900,23.100738,2134.4,1,cooling
